,Diameter (km),Long,Lat,tag
1677,12.5472477734,-11.4645576716,-35.1409994043,standard
1678,5.29475477728,-13.334829721,-34.8691302843,standard
1679,9.55192465028,-15.0954166428,-35.0360016752,standard
1680,14.7392680755,-15.4254095057,-35.7484862655,standard
1681,5.53972987715,-17.5994249858,-34.3413291997,?
1682,6.26660406926,-18.1281635501,-35.1550616001,standard
1683,11.6554505844,-17.2572448865,-35.702549759,standard
1684,10.1363936489,-18.6250278039,-34.6310104344,standard
1685,6.23298333887,-20.0415596669,-36.6269047669,standard
1686,7.61974180761,-19.6178188316,-36.4000346737,standard
1687,8.36056355926,-18.2508468258,-35.9586582364,?
1688,5.19931146319,-18.3006598193,-36.8275254279,standard
1689,7.04160237366,-18.5659665812,-37.5109481467,standard
1690,6.01907212434,-14.6301516052,-35.9092906962,?
1691,6.28330589176,-14.7738610975,-37.3515765936,standard
1692,7.23270581801,-11.4879946647,-36.2462879989,?
1693,7.06973728769,-11.7392392307,-36.4422212613,?
1694,11.7090544711,-11.7867454546,-37.6363054388,?
1695,7.24337712386,-13.3985783423,-38.2178078586,standard
1696,10.3342527092,-14.6219893822,-38.3162432297,standard
1697,17.4562338737,-19.5831320818,-37.8943773538,standard
1698,12.541445487,-19.3300125564,-37.5025108292,?
1699,6.66256939605,-20.7446694599,-38.8131074834,standard
1700,8.02761548247,-20.4615505833,-39.3249714127,standard
1701,7.72596583607,-19.7125419832,-40.5393026648,standard
1702,19.6586285268,-17.6059873438,-39.77589916,standard
1703,6.47928148029,-17.0013129218,-39.656839235,standard
1704,6.09157467473,-16.6019465594,-39.7515246872,?
1705,10.7556005787,-10.9319850017,-39.2620343027,?
1706,12.3639258924,-15.3944726748,-40.968373369,?
1707,6.82274105029,-17.9697294768,-41.0968080912,?
1708,10.4715052359,-20.0303099102,-40.8708754777,standard
1709,8.34464346123,-20.499987252,-40.9177494639,standard
1710,6.8353363388,-20.6115473391,-41.2421174484,standard
1711,6.99242604995,-20.995914026,-41.2983662319,?
1712,6.72395155645,-20.3274909827,-41.5402360007,?
1713,5.78158655107,-20.3228035841,-41.1999308608,?
1714,16.0289565795,-19.5990692372,-41.6189842975,standard
1715,7.98108801659,-22.1190147354,-40.4780714733,standard
1716,6.48776975606,-21.9737053782,-41.355552495,standard
1717,13.9343812328,-6.5007539967,-34.1008125107,standard
1718,6.43207564327,-4.03646984955,-32.5897348212,standard
1719,9.21398619545,-6.20601418433,-34.6252109797,standard
1720,12.482533789,-1.27784350649,-33.3433824428,standard
1721,5.65719432614,-0.22288727699,-33.7404089808,standard
1722,6.93746783742,-1.41396689095,-34.0958422624,standard
1723,5.86016076194,-1.58664192493,-34.4853063901,standard
1724,19.0248631154,-0.7477354622,-36.184234717,?
1725,8.94748819354,-4.882492212,-36.5790598142,standard
1726,7.6681385386,-5.38965704678,-36.5572462729,standard
1727,8.55972174121,-6.47597140257,-35.9311976381,standard
